Port,Sample,SRA accession number,Sampling location,Sampling site,location,SRA_name,JAMP_Name
Churchill,CH-51_S72,SRR5659010,tide pool,P2A,58.794525 N 94.220331 W,51_PT3_2A_rep1,TP_A_rep1
Churchill,CH-52_S64,SRR5659011,tide pool,P2A,58.794525 N 94.220331 W,52_PT3_2A_rep2,TP_A_rep2
Churchill,CH-53_S56,SRR5659125,tide pool,P2A,58.794525 N 94.220331 W,53_PT3_2A_rep3,TP_A_rep3
Churchill,CH-54_S48,SRR5659124,tide pool,P2A,58.794525 N 94.220331 W,54_PT3_2A_rep4,TP_A_rep4
Churchill,CH-55_S40,SRR5658742,tide pool,P3A,58.773772 N 94.170129 W,55_PT6_3A_rep4,TP_B_rep4
Churchill,CH-56_S32,SRR5658741,tide pool,P3A,58.773772 N 94.170129 W,56_PT6_3A_rep3,TP_B_rep3
Churchill,CH-57_S24,SRR5658740,tide pool,P3A,58.773772 N 94.170129 W,57_PT6_3A_rep2,TP_B_rep2
Churchill,CH-58_S16,SRR5658739,tide pool,P3A,58.773772 N 94.170129 W,58_PT6_3A_rep1,TP_B_rep1
Churchill,CH-T76_S73,SRR5659009,tide pool,P1A,58.780317027121782 N 94.197272965684533 W,T76_PT1_1A_rep1,TP_C_rep1
Churchill,CH-T80_S75,SRR5659007,tide pool,P1A,58.780324989929795 N 94.197024023160338 W,T78_PT1_1A_rep3,TP_C_rep3
Churchill,CH-T1_S2,SRR5659033,field control,,,,fc_1
Churchill,CH-T2_S19,SRR5658791,field control,,,,fc_2
Churchill,CH-T3_S12,SRR5658785,field control,,,,fc_3
Churchill,CH-T4_S21,SRR5659075,field control,,,,fc_4
,CH-T5_S7,SRR5658836,field control,,,,fc_5
,CH-negA_S77,SRR5658797,extraction control,,,,ec_1
,CH-negB_S78,SRR5658798,extraction control,,,,ec_2
,CH-negC_S79,SRR5658803,extraction control,,,,ec_3
,CH-negD_S80,SRR5658804,extraction control,,,,ec_4
