"","BIN","TP_A_rep3","TP_B_rep2","TP_C_rep1","Phylum","Class","Order","Family","Subfamily","Genus","Species"
"1","BOLD:AAA0001",2,4,60,"Chordata","Mammalia","Primates","Hominidae","","Homo","Homo sapiens"
"2","BOLD:AAA1542",2,0,0,"Chordata","Mammalia","Carnivora","Canidae","","Canis","Canis lupus"
"3","BOLD:AAA7007",1,0,0,"Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottinae","Myoxocephalus, Porocottus","Porocottus camtschaticus, Myoxocephalus scorpius, Myoxocephalus scorpioides"
"4","BOLD:AAB2046",0,0,4,"Chordata","Actinopterygii","Gadiformes","Gadidae","Lotinae","Lota","Lota lota"
"5","BOLD:AAB4614",9,0,0,"Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottinae","Myoxocephalus","Myoxocephalus scorpioides"
"6","BOLD:AAD2230",0,0,3,"Chordata","Aves","Charadriiformes","Scolopacidae","","Calidris","Calidris pusilla"
"7","BOLD:AAD4806",0,0,20,"Chordata","Mammalia","Cetacea","Monodontidae","","Delphinapterus","Delphinapterus leucas"
"8","BOLD:AAE4367",0,0,2,"Chordata","Mammalia","Rodentia","Castoridae","","Castor","Castor canadensis"
"9","BOLD:AAK5272",1,0,0,"Chordata","Ascidiacea","Stolidobranchia","Pyuridae","","Halocynthia","Halocynthia pyriformis"
"10","BOLD:ACA5456",0,3,5,"Chordata","Actinopterygii","Scorpaeniformes","Stichaeidae","Lumpeninae","Lumpenus, Leptoclinus","Leptoclinus maculatus, Lumpenus fabricii, Lumpenus sagitta"
"11","BOLD:ACE7641",0,0,1,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregoninae","Coregonus","Coregonus sardinella, Coregonus albula, Coregonus laurettae, Coregonus lucinensis, Coregonus sp., Coregonus peled, Coregonus zenithicus, Coregonus nigripinnis, Coregonus pollan, Coregonus artedi, Coregonus ladogae, Coregonus maraena, Coregonus autumnalis, Coregonus hoyi, Coregonus kiyi, Coregonus fontanae"
"12","BOLD:ACF5624",0,0,1,"Chordata","Aves","Anseriformes","Anatidae","","Branta","Branta sandvicensis, Branta canadensis"
"13","BOLD:ACT1316",0,1,0,"Chordata","Actinopterygii","Osmeriformes","Osmeridae","","Mallotus","Mallotus villosus, Mallotus sp."
